feature,anova_f,anova_p,chi2,chi2_p,mutual_info,xgb_importance,perm_importance_mean,anova_f_rank,chi2_rank,mutual_info_rank,xgb_importance_rank,perm_importance_mean_rank,avg_rank
sub_grade,,,206884.02661552664,0.0,0.042771415531693835,0.3039868,0.062284373630978815,,1.0,4.0,2.0,1.0,2.0
term,,,23431.911088121822,0.0,0.03867881881532065,0.14845328,0.024065039437953385,,2.0,6.0,3.0,2.0,3.25
grade,,,,,0.05503985422473012,0.39896852,0.005109935842586455,,,1.0,1.0,9.0,3.6666666666666665
home_ownership,,,1263.0939571599563,1.18443495789675e-276,0.04880286013461799,0.027024081,0.005914282347498157,,4.0,2.0,4.0,7.0,4.25
int_rate,49840.912915765075,0.0,,,0.04008847695015305,0.0056303916,0.01740638149265413,1.0,,5.0,15.0,3.0,6.0
fico_range_low,10475.290555536229,0.0,,,0.014031853190899168,0.01341452,0.006389552232775542,2.0,,12.0,5.0,6.0,6.25
loan_amnt,2880.488309346775,0.0,,,0.010728602862823733,0.0092612095,0.007236086091885774,7.0,,13.0,7.0,4.0,7.75
dti,8348.292529202685,0.0,,,0.006336153300873892,0.012735791,0.006819648392150069,4.0,,16.0,6.0,5.0,7.75
verification_status,,,2750.3269935484195,0.0,0.04469891436770035,0.007136039,0.0004999512378927151,,3.0,3.0,12.0,18.0,9.0
inq_last_6mths,3011.410686008596,0.0,,,0.01759046575910639,0.007988999,0.0015818876783615932,5.0,,10.0,10.0,14.0,9.75
addr_state,,,53.05643664672547,3.2410120325063244e-13,0.006246002799086936,0.008449796,0.003401800486453832,,6.0,17.0,9.0,12.0,11.0
annual_inc,1162.422539509246,1.4578090139596964e-254,,,0.0038974939898270833,0.009120039,0.004035844557965173,9.0,,18.0,8.0,11.0,11.5
open_acc,975.3416148895519,5.7978586098116074e-214,,,0.006417988654921825,0.007403403,0.004709514738363474,10.0,,15.0,11.0,10.0,11.5
installment,805.7895366006952,3.7595719336119912e-177,,,0.03216399435851591,0.006650646,0.0015300355178361814,11.0,,7.0,14.0,15.0,11.75
purpose,,,564.4308890216075,9.136047668297744e-125,0.028663234244434177,0.004450495,0.0005240086424477374,,5.0,8.0,19.0,17.0,12.25
revol_bal,328.4358267456359,2.190046064455767e-73,,,0.00027261676605960794,0.006710278,0.005334089915042206,12.0,,23.0,13.0,8.0,14.0
emp_length,,,,,0.02749552256521226,0.0045971046,0.0005297627095738,,,9.0,18.0,16.0,14.333333333333334
fico_range_high,10475.139707123755,0.0,,,0.014733751796152994,0.0,0.0,3.0,,11.0,22.5,22.5,14.75
funded_amnt,2880.5302509379603,0.0,,,0.009421516029382015,0.0,0.0,6.0,,14.0,22.5,22.5,16.25
total_acc,13.09026057846812,0.00029685612889581564,,,0.002596815862605073,0.0044462224,0.001724074599581482,15.0,,21.0,20.0,13.0,17.25
pub_rec,270.5520551252377,8.83349379892828e-61,,,0.0031821496179746944,0.0046164207,0.0002987162617023809,13.0,,20.0,17.0,20.0,17.5
delinq_2yrs,143.1460960867442,5.502244474459562e-33,,,0.003518647174243439,0.0046703536,0.00022920949133176105,14.0,,19.0,16.0,21.0,17.5
revol_util,1822.8731007594072,0.0,,,0.0017627403734943314,0.004285606,0.0003378083107246188,8.0,,22.0,21.0,19.0,17.5
